,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2022-06-01,1316.35791015625,1450.6395263671875,1616.728271484375,1195.47509765625,671.1585083007812,1475.52587890625,1466.4010009765625,236.2805938720703,2258.525634765625,1597.955810546875,,,,,,,,,,,,,,,,,,,,
2022-06-02,1320.7724609375,1441.360595703125,1612.8902587890625,1198.0634765625,669.5481567382812,1463.83837890625,1468.9049072265625,232.03094482421875,2286.419189453125,1596.2113037109375,,,,,,,,,,,,,,,,,,,,
2022-06-03,1318.7122802734375,1438.7093505859375,1606.4932861328125,1194.180908203125,670.9796142578125,1463.83837890625,1488.935302734375,241.3802185058593,2260.119873046875,1577.0220947265625,,,,,,,,,,,,,,,,,,,,
2022-06-06,1335.192626953125,1462.1279296875,1623.978515625,1211.437744140625,669.0114135742188,1456.5338134765625,1470.573974609375,241.3802185058593,2245.77490234375,1570.0440673828125,,,,,,,,,,,,,,,,,,,,
2022-06-07,1361.97314453125,1473.174560546875,1643.5955810546875,1225.2432861328125,666.5064086914062,1472.60400390625,1479.754638671875,237.13052368164065,2276.058837890625,1580.5108642578125,,,,,,,,,,,,,,,,,,,,
2022-06-08,1406.116455078125,1520.4541015625,1680.6982421875,1252.8544921875,694.061279296875,1495.978759765625,1508.13134765625,236.2805938720703,2327.85986328125,1583.9998779296875,,,,,,,,,,,,,,,,,,,,
2022-06-09,1419.0653076171875,1551.384521484375,1699.0360107421875,1267.091552734375,695.3137817382812,1501.8223876953125,1505.6275634765625,232.8809051513672,2292.794189453125,1575.2774658203125,,,,,,,,,,,,,,,,,,,,
2022-06-10,1392.873291015625,1528.40771484375,1672.59521484375,1251.99169921875,687.7987670898438,1478.4476318359375,1490.6046142578125,224.3816070556641,2264.1044921875,1566.5550537109375,,,,,,,,,,,,,,,,,,,,
2022-06-13,1352.2613525390625,1482.8955078125,1632.507568359375,1208.8492431640625,669.5481567382812,1418.550048828125,1478.920166015625,220.9818725585937,2230.633544921875,1559.5770263671875,,,,,,,,,,,,,,,,,,,,
2022-06-14,1333.72119140625,1464.7791748046875,1617.58154296875,1180.3753662109375,670.9796142578125,1396.636474609375,1461.3934326171875,220.13194274902344,2227.44580078125,1551.7266845703125,,,,,,,,,,,,,,,,,,,,
2022-06-15,1289.8719482421875,1419.708984375,1577.0670166015625,1150.1756591796875,662.3910522460938,1398.097412109375,1459.7242431640625,209.9327850341797,2185.20751953125,1508.9866943359375,,,,,,,,,,,,,,,,,,,,
2022-06-16,1307.8238525390625,1446.662841796875,1581.7581787109375,1160.52978515625,663.822509765625,1398.097412109375,1468.9049072265625,215.0323638916016,2178.83203125,1497.6475830078125,,,,,,,,,,,,,,,,,,,,
2022-06-17,1300.7608642578125,1411.3135986328125,1563.846923828125,1144.99853515625,653.9814453125,1342.582275390625,1473.077880859375,208.23291015625,2135.79736328125,1473.224609375,,,,,,,,,,,,,,,,,,,,
2022-06-20,1244.55126953125,1339.289794921875,1516.935546875,1069.9306640625,648.6136474609375,1307.5203857421875,1434.6859130859375,208.23291015625,2038.5706787109373,1452.2906494140625,,,,,,,,,,,,,,,,,,,,
