,6758.T,6861.T,8035.T,6702.T,6723.T,6645.T,6503.T,6301.T,6367.T,6594.T,6920.T,6954.T,6971.T,6976.T,4063.T,6981.T,6770.T,6752.T,6753.T,6857.T,"('6758.T', '6758.T')","('6861.T', '6861.T')","('8035.T', '8035.T')","('6702.T', '6702.T')","('6723.T', '6723.T')","('6645.T', '6645.T')","('6503.T', '6503.T')","('6301.T', '6301.T')","('6367.T', '6367.T')","('6594.T', '6594.T')","('6920.T', '6920.T')","('6954.T', '6954.T')","('6971.T', '6971.T')","('6976.T', '6976.T')","('4063.T', '4063.T')","('6981.T', '6981.T')","('6770.T', '6770.T')","('6752.T', '6752.T')","('6753.T', '6753.T')","('6857.T', '6857.T')","('6758.T', '6758.T').1","('6861.T', '6861.T').1","('8035.T', '8035.T').1","('6702.T', '6702.T').1","('6723.T', '6723.T').1","('6645.T', '6645.T').1","('6503.T', '6503.T').1","('6301.T', '6301.T').1","('6367.T', '6367.T').1","('6594.T', '6594.T').1","('6920.T', '6920.T').1","('6954.T', '6954.T').1","('6971.T', '6971.T').1","('6976.T', '6976.T').1","('4063.T', '4063.T').1","('6981.T', '6981.T').1","('6770.T', '6770.T').1","('6752.T', '6752.T').1","('6753.T', '6753.T').1","('6857.T', '6857.T').1"
2023-07-12,2441.634765625,64069.5703125,18362.736328125,1749.1834716796875,2471.50537109375,7927.0478515625,1902.7589111328125,3287.9638671875,27059.224609375,3590.45556640625,19309.744140625,4458.22021484375,1735.3883056640625,3792.822509765625,4253.69873046875,2483.133544921875,1109.416748046875,1540.2845458984375,794.4000244140625,4876.6953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13,2551.45947265625,65295.08203125,18735.751953125,1777.1397705078125,2581.745849609375,8075.63818359375,1920.30224609375,3349.429931640625,27178.427734375,3682.09375,20144.654296875,4508.39794921875,1749.50830078125,3918.265869140625,4397.93994140625,2545.361328125,1119.90869140625,1557.0216064453125,797.7000122070312,5062.79052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14,2524.002685546875,65393.11328125,19066.271484375,1784.8515625,2597.150634765625,7955.26171875,1929.31103515625,3363.6826171875,27178.427734375,3721.576171875,20319.404296875,4470.5283203125,1760.15625,3914.57666015625,4395.11181640625,2553.846923828125,1123.55810546875,1538.4246826171875,802.0,5353.642578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,2588.72119140625,66197.0546875,19255.138671875,1777.1397705078125,2657.806884765625,7999.4619140625,1946.380615234375,3362.791259765625,27226.111328125,3791.76708984375,20426.19140625,4476.20849609375,1769.1839599609375,4002.202392578125,4414.9091796875,2623.6171875,1138.15576171875,1563.530517578125,805.5,5385.68505859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,2599.50732421875,66677.4453125,19571.49609375,1774.2476806640625,2719.90771484375,8079.400390625,1963.4500732421875,3450.090576171875,27545.576171875,3838.56103515625,20863.06640625,4556.681640625,1775.43408203125,4062.156982421875,4453.5615234375,2639.01708984375,1142.2613525390625,1586.7764892578125,810.5,5399.2421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20,2564.206787109375,65216.64453125,19311.80078125,1744.845458984375,2635.66259765625,7896.953125,1944.0098876953125,3416.239990234375,27149.8203125,3794.2041015625,19790.302734375,4468.634765625,1754.600830078125,3952.39453125,4354.57373046875,2586.846435546875,1127.6636962890625,1569.1094970703125,803.2999877929688,5173.70947265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21,2572.051513671875,64991.15234375,18225.806640625,1755.9315185546875,2569.2294921875,7917.64306640625,1956.337646484375,3410.00439453125,27149.8203125,4188.05224609375,19067.0390625,4470.5283203125,1751.3602294921875,3933.02392578125,4263.1259765625,2584.960693359375,1125.839111328125,1616.0667724609375,798.0,4874.22998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24,2601.468505859375,65363.70703125,18664.927734375,1771.3555908203125,2584.634033203125,7933.630859375,1978.1484375,3490.177001953125,27149.8203125,4212.912109375,19800.009765625,4494.1962890625,1756.6844482421875,3982.8330078125,4314.9775390625,2585.90380859375,1136.7869873046875,1631.4090576171875,798.5,5008.564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,2579.89599609375,64932.32421875,18570.4921875,1777.1397705078125,2596.18798828125,7990.05810546875,1992.3729248046875,3524.027587890625,27569.41796875,4075.942626953125,20052.42578125,4514.07861328125,1760.619384765625,4016.9599609375,4301.77880859375,2595.646240234375,1138.15576171875,1633.268798828125,804.4000244140625,5054.16357421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26,2580.87646484375,64971.54296875,18754.63671875,1791.599609375,2624.590576171875,8015.44970703125,1978.1484375,3542.734619140625,27302.400390625,4051.0830078125,20576.671875,4523.5458984375,1755.29541015625,3924.72265625,4333.83251953125,2577.103515625,1126.75146484375,1616.9964599609375,805.9000244140625,4969.126953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,2590.682373046875,65246.05859375,19264.5859375,1815.6998291015625,2667.91650390625,7915.76123046875,1962.9757080078125,3540.95263671875,27307.16796875,4095.439697265625,20523.275390625,4526.3857421875,1749.971435546875,3896.12841796875,4342.318359375,2567.675048828125,1124.01416015625,1614.20703125,852.0,4889.01904296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,2557.3427734375,65363.70703125,19746.19921875,1744.3636474609375,2536.49462890625,7163.40234375,1937.8458251953125,3522.245849609375,27235.6484375,4094.465087890625,20712.587890625,4439.28564453125,1740.712158203125,3909.0419921875,4303.66455078125,2570.818115234375,1110.78515625,1577.9432373046875,850.7999877929688,4880.39208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
