,9983.T,8267.T,3382.T,2802.T,2503.T,2502.T,2914.T,7974.T,9697.T,4911.T,8113.T,2282.T,2281.T,2269.T,3086.T,3099.T,7550.T,4755.T,"('9983.T', '9983.T')","('8267.T', '8267.T')","('3382.T', '3382.T')","('2802.T', '2802.T')","('2503.T', '2503.T')","('2502.T', '2502.T')","('2914.T', '2914.T')","('7974.T', '7974.T')","('9697.T', '9697.T')","('4911.T', '4911.T')","('8113.T', '8113.T')","('2282.T', '2282.T')","('2281.T', '2281.T')","('2269.T', '2269.T')","('3086.T', '3086.T')","('3099.T', '3099.T')","('7550.T', '7550.T')","('4755.T', '4755.T')","('9983.T', '9983.T').1","('8267.T', '8267.T').1","('3382.T', '3382.T').1","('2802.T', '2802.T').1","('2503.T', '2503.T').1","('2502.T', '2502.T').1","('2914.T', '2914.T').1","('7974.T', '7974.T').1","('9697.T', '9697.T').1","('4911.T', '4911.T').1","('8113.T', '8113.T').1","('2282.T', '2282.T').1","('2281.T', '2281.T').1","('2269.T', '2269.T').1","('3086.T', '3086.T').1","('3099.T', '3099.T').1","('7550.T', '7550.T').1","('4755.T', '4755.T').1"
2021-06-10,26529.708984375,927.3617553710938,1466.1097412109375,1233.06494140625,1947.4627685546875,1597.57763671875,1646.64892578125,5910.13232421875,1560.3460693359375,7626.64453125,1389.115234375,3854.3525390625,2550.458984375,2945.298583984375,1018.3226928710938,795.1357421875,2702.20751953125,1264.1278076171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,26281.236328125,921.8846435546876,1478.78759765625,1238.89990234375,1934.3385009765625,1582.9017333984375,1648.154052734375,5915.41943359375,1595.541748046875,7624.76220703125,1404.94384765625,3898.503173828125,2573.707763671875,2967.083251953125,1012.1934204101562,788.7085571289062,2696.429443359375,1283.895263671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,26864.19921875,927.831298828125,1482.10791015625,1237.032958984375,1921.21435546875,1582.9017333984375,1650.411865234375,5733.06787109375,1576.77099609375,7668.0322265625,1406.2099609375,3902.9189453125,2574.568359375,2984.5107421875,1004.3131103515624,774.0177612304688,2681.021484375,1292.79052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15,26778.1875,939.5679931640624,1511.0859375,1256.8721923828125,1952.54296875,1615.7750244140625,1657.1849365234375,5732.1865234375,1553.30712890625,7675.55810546875,1416.6571044921875,3924.993896484375,2604.70556640625,3054.221923828125,977.1693725585938,772.1815185546875,2676.2060546875,1297.732421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-16,26048.685546875,941.4459838867188,1509.27490234375,1265.2747802734375,1951.6962890625,1607.850341796875,1667.7213134765625,5571.85791015625,1541.5751953125,7778.0859375,1404.3106689453125,3973.56005859375,2573.707763671875,3080.36376953125,992.0546264648438,774.0177612304688,2638.64892578125,1299.709228515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17,26077.353515625,923.29296875,1509.27490234375,1280.912353515625,1938.9952392578125,1603.4476318359375,1660.9478759765625,5637.9267578125,1518.111328125,7787.4921875,1414.7574462890625,3902.9189453125,2557.34765625,3028.080322265625,992.0546264648438,763.9178466796875,2634.796630859375,1278.953369140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,26271.677734375,925.6401977539062,1509.27490234375,1286.2806396484375,1929.2579345703125,1594.6422119140625,1659.06640625,5752.4482421875,1529.8431396484375,7439.45947265625,1410.642333984375,3894.0888671875,2541.84814453125,3001.938720703125,944.7723388671876,755.6544189453125,2632.87060546875,1258.197509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,25128.04296875,911.7127685546876,1500.8231201171875,1258.506103515625,1859.4034423828125,1549.7353515625,1637.994140625,5702.23388671875,1466.49072265625,7226.8759765625,1381.833984375,3757.221435546875,2477.2685546875,2914.799560546875,922.8822021484376,734.5364379882812,2626.1298828125,1232.4998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,25914.888671875,958.3468627929688,1554.8548583984375,1304.953125,1889.038818359375,1607.850341796875,1657.5611572265625,5742.7578125,1511.072021484375,7478.96484375,1396.0799560546875,3885.25830078125,2522.905029296875,2980.15380859375,954.4037475585938,762.9998168945312,2650.205322265625,1242.383544921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,26446.884765625,945.8275146484376,1528.5936279296875,1305.4197998046875,1872.1044921875,1586.7174072265625,1655.3035888671875,5644.974609375,1494.6475830078125,7494.9560546875,1404.627197265625,3872.013427734375,2503.961669921875,2954.01220703125,941.2699584960938,758.408935546875,2752.284423828125,1255.232421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
